2024-01-25 14:03:12 1 installed libc6:amd64 2.35-0ubuntu3
2024-01-25 14:03:12 1 installed libudev1:amd64 249.11-0ubuntu3
2024-01-25 14:03:12 1 installed libattr1:amd64 1:2.5.1-1build1
2024-01-25 14:03:12 1 installed sysvinit-utils:amd64 3.01-1ubuntu1
2024-01-25 14:03:12 1 installed debianutils:amd64 5.5-1ubuntu2
2024-01-25 14:03:12 1 installed mawk:amd64 1.3.4.20200120-3
2024-01-25 14:03:12 1 installed libdebconfclient0:amd64 0.261ubuntu1
2024-01-25 14:03:12 1 installed base-files:amd64 12ubuntu4
2024-01-25 14:03:12 1 installed libbz2-1.0:amd64 1.0.8-5build1
2024-01-25 14:03:12 1 installed base-passwd:amd64 3.5.52build1
2024-01-25 14:03:12 1 installed libdb5.3:amd64 5.3.28+dfsg1-0.8ubuntu3
2024-01-25 14:03:12 1 installed libblkid1:amd64 2.37.2-4ubuntu3
2024-01-25 14:03:12 1 installed libtinfo6:amd64 6.3-2
2024-01-25 14:03:12 1 installed bash:amd64 5.1-6ubuntu1
2024-01-25 14:03:12 1 installed libzstd1:amd64 1.4.8+dfsg-3build1
2024-01-25 14:03:12 1 installed libkeyutils1:amd64 1.6.1-2ubuntu3
2024-01-25 14:03:13 1 installed liblzma5:amd64 5.2.5-2ubuntu1
2024-01-25 14:03:13 1 installed libgpg-error0:amd64 1.43-3
2024-01-25 14:03:13 1 installed liblz4-1:amd64 1.9.3-2build2
2024-01-25 14:03:13 1 installed libc-bin:amd64 2.35-0ubuntu3
2024-01-25 14:03:13 1 installed ncurses-bin:amd64 6.3-2
2024-01-25 14:03:13 1 installed libacl1:amd64 2.3.1-1
2024-01-25 14:03:13 1 installed libsmartcols1:amd64 2.37.2-4ubuntu3
2024-01-25 14:03:13 1 installed libgcrypt20:amd64 1.9.4-3ubuntu3
2024-01-25 14:03:13 1 installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu9
2024-01-25 14:03:13 1 installed libcom-err2:amd64 1.46.5-2ubuntu1
2024-01-25 14:03:13 1 installed diffutils:amd64 1:3.8-0ubuntu2
